,감정_대분류,content,label,Emotion
0,상처,옆집 아이가 나보고 아저씨래.,1,
1,불안,요즘 따라 치매 증상이 더 심해진 것 같아. 무엇에 집중하기가 힘들어.,1,
2,불안,난 내 소심한 성격이 걱정이야.,1,
3,슬픔,가족 중에 나를 이해해 주는 사람이 한 명도 없네. 너무 슬프다.,1,
4,,인터넷 쇼핑도 한 때,1,슬픔
5,,공부만 잘한 쓰레기 벌레인가 봅니다.,1,슬픔
6,슬픔,나의 전부였던 회사 생활이 끝난 게 눈물이 나.,1,
7,불안,허리가 아파서 병원에서 요양사로 일하는 것이 힘들어,1,
8,불안,부모님이 내 일기장을 보신 것 같아.,1,
9,슬픔,아들이 이제 내 잔소리는 들은 척도 하지 않아.,1,
10,상처,여자친구랑 또 싸워서 기분이 좋지 않아.,1,
11,불안,요새 관심이 생긴 분야를 공부하고 싶어서 학원에 다니는데 내가 제일 못하는 것 같아.,1,
12,슬픔,몸이 아파 직장도 못 다니고 하던 활동도 모두 그만두니 눈물 나.,1,
13,불안,소중한 친구가 돈을 빌려 달라고 하는데 예로부터 친구와는 돈거래 하지 말라는 얘기를 들어서 고민돼.,1,
14,불안,친구가 괴롭힘을 당하고 있어. 너무 속상해.,1,
15,분노,대리님이 나한테 갑자기 프레젠테이션을 떠넘기셨는데 솔직히 너무 무책임하신 것 같아.,1,
16,슬픔,오늘 이혼하러 법원에 다녀왔어.,1,
17,슬픔,이번이 대학교 마지막 학기인데 아직도 진로를 정하지 못해서 답답해. 내가 어떤 일을 좋아하는지 방학 내내 고민했더니 머리가 마비될 것 같아.,1,
18,불안,상사가 지시한 업무가 너무 무리여서 팀원들을 어떻게 설득해야 할지 걱정이야.,1,
19,불안,성적이 크게 떨어져서 과외를 받고 싶은데 새엄마에게 말씀드리기가 너무 어려워.,1,
20,상처,나만 새된 것 같아. 정말 짜증나. 이직하려고 사표를 냈는데 결국 이직을 못하게 됐어.,1,
21,불안,직장 상사가 조금만 실수해도 나한테만 유독 까다롭게 굴어서 스트레스 받아.,1,
22,상처,어제 형이 아빠가 바람 피우는 걸 봤다 그랬어. 어떻게 그럴 수 있지?,1,
23,불안,사실 제일 적성에 안 맞는다고 생각한 직장이었거든. 그래서 취직을 해도 될지 모르겠어.,1,
24,슬픔,위암에 걸렸어. 앞으로 일을 못할지도 모르는데 나만 보고 있는 가족들 생각에 눈물이 나.,1,
25,상처,나 지금 너무 비관적이야.,1,
26,,와.. 못할짓이더라고요.오늘 식단은 원래 바나나커피라고그거 2개까지만 타협을 했는데.,1,슬픔
27,,방탈 죄송합니다 ㅠㅠ,1,슬픔
28,불안,최근 들어 회사 일이 너무 힘들어.,1,
29,슬픔,너무 자괴감 들어.,1,
30,분노,요즘 나 자신이 너무 미워졌어.,1,
31,상처,남자 친구가 유부남이 아니라면 나를 속이고 만났었는데 너무 억울해.,1,
32,슬픔,우리 식구는 서로 사랑하지 않는 거 같아서 슬퍼.,1,
33,,오늘따라 신경안정제가 땡기는 밤이네요...0,1,슬픔
34,불안,언제나 영어 경시대회에서 상을 수료했었는데 이번에는 못 받았어.,1,
35,,저거옮기는 사람들은 얼마나보기싫을까.......밥도 제대로못먹을듯ㅠㅠ,1,슬픔
36,불안,내년에 고등학교에 들어가는데 학교에서 왕따가 될까봐 걱정이야.,1,
37,,"저 해맑은 아이들을 박사모로 만든, 슬픈 한국근현대사....",1,슬픔
38,,올해 유난히 더운해에요 에어컨이 집에 없어서 정말 힘드내요,1,슬픔
39,슬픔,엄마가 결국 집을 나갔어. 너무 너무 슬퍼.,1,
40,분노,허리디스크 진단을 받았어. 너무 우울해.,1,
41,슬픔,학교에서는 쓸데없는 것만 배워.,1,
42,분노,요새 젊은 친구들과 대화하면 내가 모르는 얘기를 해서 열등감이 느껴져.,1,
43,불안,난 정말 너무 억울해.,1,
44,불안,갈수록 벌이가 줄고 있어서 너무 긴장돼.,1,
45,상처,아이들이 부모가 재산을 남겨 주지 못한다고 원망하지 않을까?,1,
46,슬픔,면접을 봤는데 다른 경쟁자들은 다 요건이 좋아서 난 절대로 안 될 거 같아.,1,
47,슬픔,매일매일 야근을 하는데도 일은 줄지 않고 부장님은 빨리 안 한다고 채근하시고 너무 스트레스가 많아서 힘들어.,1,
48,상처,갱년기 때문에 요즘 너무 우울하고 남편 때문에 더 살기가 싫어.,1,
49,불안,아내를 잃은 고독함을 잊어보려고 노인 일자리를 알아보는데 마땅치 않아 불만이야.,1,
50,,혁신에 집착했는데 혁신적이지고않았군...,1,슬픔
51,불안,남편이 어제도 야근한다고 해놓고 술 마시고 안 들어왔어.,1,
52,불안,아들이 창피하다고 날 보고 이쁘게 꾸미고 다니래.,1,
53,상처,몸이 안 좋지만 딸의 형편이 좋지 않으니 치료를 포기하기로 마음먹어서 너무 슬퍼.,1,
54,불안,오늘 회사에서 당혹스러운 일을 겪었어.,1,
55,,그냥 미안하다는데 뭐라고 말도 못하겠고...= _=나 이제 어디서 일한다니...,1,슬픔
56,슬픔,나 어떻게 해 앞으로. 자꾸 눈물만 나.,1,
57,상처,면접관이 내가 지방대 출신이라고 무시하는 것 같아서 너무 속상해.,1,
58,상처,의사가 처음에 이야기했던 항암치료비보다 많이 나와서 당황했어. 억울한 마음이 들어.,1,
59,상처,몸이 많이 아파서 친구들을 잘 못 만났더니 거의 연이 끊겨버렸어.,1,
60,불안,자식들이 노후 자금 저축 액수를 줄이라고 하지만 손 벌리기 싫어 당황스러웠어.,1,
61,분노,오늘 친구와 만나기로 한 장소에 나갔는데 친구가 오지 않았어. 너무 화나!,1,
62,불안,새로 들어간 회사인데 영 시원치 않아.,1,
63,분노,이제 곧 결혼해야 할 나이인데 결혼할 사람이 없어서 큰일이야.,1,
64,불안,요즘 사람들과의 관계가 조심스럽더라.,1,
65,상처,여태껏 혼자 하는 일만 하고 혼자 살았더니 한평생 살면서 친구도 가족도 없어서 허탈해.,1,
66,상처,나는 도움을 주고 싶은데 손녀는 내 도움이 필요 없대.,1,
67,상처,남편이 어제 죽었어. 나는 할 수 있는 일이 없는데 혼자 어떻게 살아야 하지?,1,
68,불안,딸과 아들 둘 다 결혼을 하지 않으려고 해서 걱정돼.,1,
69,상처,나는 노후준비를 위해 차를 팔아서 사업을 시작했는데 친구가 새 차를 뽑아서 질투나.,1,
70,분노,회사 사정으로 어쩔 수 없이 무급 휴가를 내게 되었어.,1,
71,슬픔,그 동안 아내에게 내가 너무 무심했던 것 같아서 후회가 돼.,1,
72,슬픔,사람들이 과연 나를 사랑해서 고백을 하는 걸까?,1,
73,불안,일과 가정에 모두 충실해야 하는데 그걸 행동으로 실천하기가 어려워.,1,
74,,진짜 괴롭다,1,슬픔
75,불안,부서 이동 이후로 스트레스가 더 심해졌어.,1,
76,분노,자식들이 용돈을 주는데 몸이 아파서 딱히 쓸 곳이 없는 게 속상해.,1,
77,불안,예전에 큰 거짓말을 한 뒤로 엄마 아빠는 내 말을 다 믿지 않아. 계속 그럴까 봐 걱정돼.,1,
78,불안,건강 검진을 앞두고 걱정이네.,1,
79,불안,직장 생활을 하다 보면 당황스러운 일이 되게 많은 것 같아.,1,
80,불안,우울증으로 삶에 흥미가 없어. 부모님은 그런 내가 한심하신지 화를 내셔.,1,
