content,label,num_sentences
임신해서 우울해,1,1
아이 가지고 나서 우울해,1,1
아이 가졌는데 기분 하나도 안 좋고 울적해,1,1
임신했는데 남편이 하나도 안 챙겨줘서 우울하다,1,1
진단 결과 안 좋게 나올 것 같아서 우울해 ,1,1
먹고 싶은 거 못 먹어서 우울해,1,1
하고 싶은 거 못 해서 이렇게 우울할 수가 없어,1,1
술을 못 마시면 이렇게 우울해지는 구나,1,1
술 못 마시니까 진짜 우울하다,1,1
남편이 안 챙겨주니까 우울해지는 것 같아,1,1
남편이 안 챙겨줘서 진심 우울해요,1,1
살이 안 빠져서 우울해,1,1
노산이라 우울해요,1,1
대화가 안 통해서 우울한 것 같아,1,1
경력이 단절된다는 생각만 하면 우울한 것 같아요,1,1
대화가 안 통하니까 우울하잖아,1,1
오늘 상담 받고 와서 우울해요,1,1
유도 실패해서 개 우울해,1,1
재검 해야 한다고 해서 기분이 안 좋아,1,1
원인은 모르겠는데 자꾸 꿀꿀해,1,1
기분이 계속 가라앉아서 땅 속에 꺼진 느낌이야,1,1
별 일 없는데도 우울한 기분이 계속 돼,1,1
대체적으로 매일매일 우울해,1,1
밤에 특히 더 우울하다,1,1
우울하니까 물건도 집어 던져,1,1
우울한 상태에서 나도 모르게 화를 내버려,1,1
계속 우울해서 술 마셨어,1,1
왜 그런지 맨날 울어,1,1
혼자 있으면 더 우울해,1,1
혼자가 되면 우울해지는 것 같아,1,1
우울해서 담배 찾아,1,1
우울하면서 머리가 짓눌러지는 것 같은 느낌이 들어,1,1
혼자 있으면 꿀꿀해,1,1
오빠가 직장에 있으면 꿀꿀해지는 것 같아,1,1
아침에 눈뜨면 진짜 우울한 것 같아,1,1
우울하니까 눈물 나고..,1,1
착잡하니까 울고 싶고 그래,1,1
우울하고 착잡하니까 아무것도 못하겠어,1,1
혼자만 되면 왜 이렇게 우울해지는지,1,1
괜히 우울하니까 다른 일이라도 막 찾아서 해,1,1
우울해서 이대로 내가 없어질 것 같아,1,1
우울하니까 내가 이상해지는 것 같아,1,1
우울증 때문에 죽고 싶어,1,1
우울감이 너무 심해,1,1
우울증 진짜 너무 심각하다,1,1
우울증 개 심해,1,1
그냥 우울증 환자 같아,1,1
완전 우울을 달고 살아,1,1
우울한 게 통제가 안 돼,1,1
우울한 게 통제가 안 되요,1,1
우울해 죽고 싶어요,1,1
우울해서 힘드네,1,1
우울하니까 사는 맛이 안 나,1,1
우울해서 미치겠어,1,1
